Common Name,Scientific Name,Family,Native,Occurrence
American Badger,Taxidea jacksoni,Carnivores,Native,Rare
American Mink,Mustela vison,Carnivores,Native,Common
Coyote,Canis latrans,Carnivores,Native,Common
Ermine,Mustela erminea,Carnivores,Native,Rare to Uncommon
Long-tailed Weasel,Mustela frenata,Carnivores,Native,Common
North American River Otter,Lontra canadensis,Carnivores,Native,Rare
Raccoon,Procyon lotor,Carnivores,Native,Common
Red Fox,Vulpes vulpes,Carnivores,Native,Common
Striped Skunk,Mephitis mephitis,Carnivores,Native,Common
Masked Shrew,Sorex cinereus,Shrews & Moles,Native,Common
Northern Short-tailed Shrew,Blarina brevicauda,Shrews & Moles,Native,Common
Smoky Shrew,Sorex fumeus,Shrews & Moles,Native,Common
Water Shrew,Sorex palustris,Shrews & Moles,Native,Uncommon
Hairy-tailed Mole,Parascalops breweri,Shrews & Moles,Native,Uncommon
Star-nosed Mole,Condylura cristata,Shrews & Moles,Native,Common
Big Brown Bat,Eptesicus fuscus,Bats,Native,Common
Hoary Bat,Lasiurus cinereus,Bats,Native,Common
Little Brown Bat,Myotis lucifugus,Bats,Native,Common
Northern Long-eared Bat,Myotis septentrionalis,Bats,Native,Common
Eastern Red Bat,Lasiurus borealis,Bats,Native,Common
Silver-haired Bat,Lasionycteris noctivagans,Bats,Native,Rare
Eastern Cottontail,Sylvilagus floridanus,Rabbits & Hares,Native,Common
European Hare,Lepus europaeus,Rabbits & Hares,Exotic,Unknown
Snowshoe Hare,Lepus americanus,Rabbits & Hares,Native,Rare or Extirpated
Virginia Opossum,Didelphis virginiana,Opossums,Native,Common
White-tailed Deer,Odocoileus virginianus,Deer,Native,Common
Beaver,Castor canadensis,Rodents,Native,Common
Muskrat,Ondatra zibethicus,Rodents,Native,Common
Woodchuck,Marmota monax,Rodents,Native,Common
Deer Mouse,Peromyscus maniculatus,Rodents,Native,Common
House Mouse,Mus musculus,Rodents,Exotic,Common
Meadow Jumping Mouse,Zapus hudsonius,Rodents,Native,Common
White-footed Mouse,Peromyscus leucopus,Rodents,Native,Common
Woodland Jumping Mouse,Napaeozapus insignis,Rodents,Native,Uncommon
Meadow Vole,Microtus pennsylvanicus,Rodents,Native,Common
Woodland Vole,Pitymys pinetorum,Rodents,Native,Rare
Eastern Chipmunk,Tamias striatus,Rodents,Native,Common
Eastern Gray Squirrel,Sciurus carolinensis,Rodents,Native,Common
Northern Flying Squirrel,Glaucomys sabrinus,Rodents,Native,Rare
Red Squirrel,Tamiasciurus hudsonicus,Rodents,Native,Common
Southern Flying Squirrel,Glaucomys volans,Rodents,Native,Common
Norway Rat,Rattus norvegicus,Rodents,Exotic,Common
Porcupine,Erethizon dorsatum,Rodents,Native,Common
